INFO 	 2019-04-21 02:32:27,890 Serial port COM3 opened successfully.
INFO 	 2019-04-21 02:32:27,890 Running: 1000 tests with baud rate: 115200
DEBUG 	 2019-04-21 02:32:27,892 SSSSS ------> TTTTT
DEBUG 	 2019-04-21 02:32:27,894 QQQQQ ------> RRRRR
DEBUG 	 2019-04-21 02:32:27,895 wwwww ------> xxxxx
DEBUG 	 2019-04-21 02:32:27,896 BBBBB ------> CCCCC
DEBUG 	 2019-04-21 02:32:27,897 PPPPP ------> QQQQQ
DEBUG 	 2019-04-21 02:32:27,898 QQQQQ ------> RRRRR
DEBUG 	 2019-04-21 02:32:27,899 YYYYY ------> ZZZZZ
DEBUG 	 2019-04-21 02:32:27,900 EEEEE ------> FFFFF
DEBUG 	 2019-04-21 02:32:27,901 ddddd ------> eeeee
DEBUG 	 2019-04-21 02:32:27,902 AAAAA ------> BBBBB
DEBUG 	 2019-04-21 02:32:27,903 wwwww ------> xxxxx
DEBUG 	 2019-04-21 02:32:27,904 FFFFF ------> GGGGG
DEBUG 	 2019-04-21 02:32:27,910 ttttt ------> uuuuu
DEBUG 	 2019-04-21 02:32:27,911 IIIII ------> JJJJJ
DEBUG 	 2019-04-21 02:32:27,912 vvvvv ------> wwwww
DEBUG 	 2019-04-21 02:32:27,913 GGGGG ------> HHHHH
DEBUG 	 2019-04-21 02:32:27,914 SSSSS ------> TTTTT
DEBUG 	 2019-04-21 02:32:27,915 MMMMM ------> NNNNN
DEBUG 	 2019-04-21 02:32:27,916 ggggg ------> hhhhh
DEBUG 	 2019-04-21 02:32:27,917 vvvvv ------> wwwww
DEBUG 	 2019-04-21 02:32:27,918 jjjjj ------> kkkkk
DEBUG 	 2019-04-21 02:32:27,919 NNNNN ------> OOOOO
DEBUG 	 2019-04-21 02:32:27,920 KKKKK ------> LLLLL
DEBUG 	 2019-04-21 02:32:27,921 nnnnn ------> ooooo
DEBUG 	 2019-04-21 02:32:27,922 ppppp ------> qqqqq
DEBUG 	 2019-04-21 02:32:27,923 XXXXX ------> YYYYY
DEBUG 	 2019-04-21 02:32:27,924 WWWWW ------> XXXXX
DEBUG 	 2019-04-21 02:32:27,925 QQQQQ ------> RRRRR
DEBUG 	 2019-04-21 02:32:27,926 ppppp ------> qqqqq
DEBUG 	 2019-04-21 02:32:27,927 yyyyy ------> zzzzz
DEBUG 	 2019-04-21 02:32:27,928 sssss ------> ttttt
DEBUG 	 2019-04-21 02:32:27,929 EEEEE ------> FFFFF
DEBUG 	 2019-04-21 02:32:27,930 PPPPP ------> QQQQQ
DEBUG 	 2019-04-21 02:32:27,931 BBBBB ------> CCCCC
DEBUG 	 2019-04-21 02:32:27,932 uuuuu ------> vvvvv
DEBUG 	 2019-04-21 02:32:27,933 wwwww ------> xxxxx
DEBUG 	 2019-04-21 02:32:27,934 CCCCC ------> DDDDD
DEBUG 	 2019-04-21 02:32:27,935 NNNNN ------> OOOOO
DEBUG 	 2019-04-21 02:32:27,936 xxxxx ------> yyyyy
DEBUG 	 2019-04-21 02:32:27,937 DDDDD ------> EEEEE
DEBUG 	 2019-04-21 02:32:27,938 ZZZZZ ------> AAAAA
DEBUG 	 2019-04-21 02:32:27,939 LLLLL ------> MMMMM
DEBUG 	 2019-04-21 02:32:27,940 wwwww ------> xxxxx
DEBUG 	 2019-04-21 02:32:27,941 uuuuu ------> vvvvv
DEBUG 	 2019-04-21 02:32:27,942 EEEEE ------> FFFFF
DEBUG 	 2019-04-21 02:32:27,943 LLLLL ------> MMMMM
DEBUG 	 2019-04-21 02:32:27,944 jjjjj ------> kkkkk
DEBUG 	 2019-04-21 02:32:27,945 ggggg ------> hhhhh
DEBUG 	 2019-04-21 02:32:27,946 ccccc ------> ddddd
DEBUG 	 2019-04-21 02:32:27,947 PPPPP ------> QQQQQ
DEBUG 	 2019-04-21 02:32:27,948 ppppp ------> qqqqq
DEBUG 	 2019-04-21 02:32:27,949 RRRRR ------> SSSSS
DEBUG 	 2019-04-21 02:32:27,950 ddddd ------> eeeee
DEBUG 	 2019-04-21 02:32:27,951 ggggg ------> hhhhh
DEBUG 	 2019-04-21 02:32:27,952 vvvvv ------> wwwww
DEBUG 	 2019-04-21 02:32:27,953 AAAAA ------> BBBBB
DEBUG 	 2019-04-21 02:32:27,954 VVVVV ------> WWWWW
DEBUG 	 2019-04-21 02:32:27,955 VVVVV ------> WWWWW
DEBUG 	 2019-04-21 02:32:27,956 iiiii ------> jjjjj
DEBUG 	 2019-04-21 02:32:27,957 IIIII ------> JJJJJ
DEBUG 	 2019-04-21 02:32:27,958 GGGGG ------> HHHHH
DEBUG 	 2019-04-21 02:32:27,959 NNNNN ------> OOOOO
DEBUG 	 2019-04-21 02:32:27,960 uuuuu ------> vvvvv
DEBUG 	 2019-04-21 02:32:27,961 mmmmm ------> nnnnn
DEBUG 	 2019-04-21 02:32:27,962 xxxxx ------> yyyyy
DEBUG 	 2019-04-21 02:32:27,963 ccccc ------> ddddd
