INFO 	 2019-04-21 02:28:54,676 Serial port COM3 opened successfully.
INFO 	 2019-04-21 02:28:54,676 Running: 1000 tests with baud rate: 200000
DEBUG 	 2019-04-21 02:28:54,676 V ------> W
DEBUG 	 2019-04-21 02:28:54,677 P ------> Q
DEBUG 	 2019-04-21 02:28:54,678 W ------> X
DEBUG 	 2019-04-21 02:28:54,679 Z ------> A
DEBUG 	 2019-04-21 02:28:54,680 g ------> h
DEBUG 	 2019-04-21 02:28:54,681 S ------> T
DEBUG 	 2019-04-21 02:28:54,682 H ------> I
DEBUG 	 2019-04-21 02:28:54,683 D ------> E
DEBUG 	 2019-04-21 02:28:54,684 t ------> u
DEBUG 	 2019-04-21 02:28:54,685 b ------> c
DEBUG 	 2019-04-21 02:28:54,686 A ------> B
DEBUG 	 2019-04-21 02:28:54,687 y ------> z
DEBUG 	 2019-04-21 02:28:54,688 I ------> J
DEBUG 	 2019-04-21 02:28:54,693 p ------> q
DEBUG 	 2019-04-21 02:28:54,694 Z ------> A
DEBUG 	 2019-04-21 02:28:54,695 c ------> d
DEBUG 	 2019-04-21 02:28:54,696 k ------> l
DEBUG 	 2019-04-21 02:28:54,697 a ------> b
DEBUG 	 2019-04-21 02:28:54,698 a ------> b
DEBUG 	 2019-04-21 02:28:54,699 q ------> r
DEBUG 	 2019-04-21 02:28:54,700 i ------> j
DEBUG 	 2019-04-21 02:28:54,701 H ------> I
DEBUG 	 2019-04-21 02:28:54,702 S ------> T
DEBUG 	 2019-04-21 02:28:54,703 M ------> N
DEBUG 	 2019-04-21 02:28:54,704 E ------> F
DEBUG 	 2019-04-21 02:28:54,705 U ------> V
DEBUG 	 2019-04-21 02:28:54,706 h ------> i
DEBUG 	 2019-04-21 02:28:54,707 q ------> r
DEBUG 	 2019-04-21 02:28:54,708 O ------> P
DEBUG 	 2019-04-21 02:28:54,709 W ------> X
DEBUG 	 2019-04-21 02:28:54,710 m ------> n
DEBUG 	 2019-04-21 02:28:54,711 u ------> v
DEBUG 	 2019-04-21 02:28:54,712 a ------> b
DEBUG 	 2019-04-21 02:28:54,713 e ------> f
DEBUG 	 2019-04-21 02:28:54,714 q ------> r
DEBUG 	 2019-04-21 02:28:54,715 M ------> N
DEBUG 	 2019-04-21 02:28:54,716 R ------> S
DEBUG 	 2019-04-21 02:28:54,717 a ------> b
DEBUG 	 2019-04-21 02:28:54,718 q ------> r
DEBUG 	 2019-04-21 02:28:54,719 g ------> h
DEBUG 	 2019-04-21 02:28:54,720 J ------> K
DEBUG 	 2019-04-21 02:28:54,721 A ------> B
DEBUG 	 2019-04-21 02:28:54,722 O ------> P
DEBUG 	 2019-04-21 02:28:54,723 u ------> v
DEBUG 	 2019-04-21 02:28:54,724 L ------> M
DEBUG 	 2019-04-21 02:28:54,725 L ------> M
DEBUG 	 2019-04-21 02:28:54,726 z ------> a
DEBUG 	 2019-04-21 02:28:54,727 a ------> b
DEBUG 	 2019-04-21 02:28:54,728 u ------> v
DEBUG 	 2019-04-21 02:28:54,729 k ------> l
DEBUG 	 2019-04-21 02:28:54,730 V ------> W
DEBUG 	 2019-04-21 02:28:54,731 u ------> v
DEBUG 	 2019-04-21 02:28:54,732 s ------> t
DEBUG 	 2019-04-21 02:28:54,733 A ------> B
DEBUG 	 2019-04-21 02:28:54,734 X ------> Y
DEBUG 	 2019-04-21 02:28:54,735 P ------> Q
DEBUG 	 2019-04-21 02:28:54,736 D ------> E
DEBUG 	 2019-04-21 02:28:54,737 c ------> d
DEBUG 	 2019-04-21 02:28:54,738 X ------> Y
DEBUG 	 2019-04-21 02:28:54,739 K ------> L
DEBUG 	 2019-04-21 02:28:54,740 n ------> o
DEBUG 	 2019-04-21 02:28:54,741 H ------> I
DEBUG 	 2019-04-21 02:28:54,742 O ------> P
DEBUG 	 2019-04-21 02:28:54,743 W ------> X
DEBUG 	 2019-04-21 02:28:54,744 I ------> J
DEBUG 	 2019-04-21 02:28:54,745 C ------> D
DEBUG 	 2019-04-21 02:28:54,746 y ------> z
DEBUG 	 2019-04-21 02:28:54,747 Q ------> R
DEBUG 	 2019-04-21 02:28:54,748 o ------> p
DEBUG 	 2019-04-21 02:28:54,749 K ------> L
DEBUG 	 2019-04-21 02:28:54,750 E ------> F
DEBUG 	 2019-04-21 02:28:54,751 P ------> Q
DEBUG 	 2019-04-21 02:28:54,752 c ------> d
DEBUG 	 2019-04-21 02:28:54,753 U ------> V
DEBUG 	 2019-04-21 02:28:54,754 m ------> n
DEBUG 	 2019-04-21 02:28:54,755 T ------> U
DEBUG 	 2019-04-21 02:28:54,756 H ------> I
DEBUG 	 2019-04-21 02:28:54,757 m ------> n
DEBUG 	 2019-04-21 02:28:54,758 W ------> X
DEBUG 	 2019-04-21 02:28:54,759 Q ------> R
DEBUG 	 2019-04-21 02:28:54,760 K ------> L
DEBUG 	 2019-04-21 02:28:54,761 Q ------> R
DEBUG 	 2019-04-21 02:28:54,762 V ------> W
DEBUG 	 2019-04-21 02:28:54,763 G ------> H
DEBUG 	 2019-04-21 02:28:54,764 w ------> x
DEBUG 	 2019-04-21 02:28:54,765 j ------> k
DEBUG 	 2019-04-21 02:28:54,766 O ------> P
DEBUG 	 2019-04-21 02:28:54,767 X ------> Y
DEBUG 	 2019-04-21 02:28:54,768 y ------> z
DEBUG 	 2019-04-21 02:28:54,769 B ------> C
DEBUG 	 2019-04-21 02:28:54,770 x ------> y
DEBUG 	 2019-04-21 02:28:54,771 I ------> J
DEBUG 	 2019-04-21 02:28:54,772 A ------> B
DEBUG 	 2019-04-21 02:28:54,773 u ------> v
DEBUG 	 2019-04-21 02:28:54,774 S ------> T
DEBUG 	 2019-04-21 02:28:54,775 i ------> j
DEBUG 	 2019-04-21 02:28:54,776 E ------> F
DEBUG 	 2019-04-21 02:28:54,777 J ------> K
DEBUG 	 2019-04-21 02:28:54,778 v ------> w
DEBUG 	 2019-04-21 02:28:54,779 E ------> F
DEBUG 	 2019-04-21 02:28:54,780 C ------> D
DEBUG 	 2019-04-21 02:28:54,781 K ------> L
DEBUG 	 2019-04-21 02:28:54,782 H ------> I
DEBUG 	 2019-04-21 02:28:54,783 g ------> h
DEBUG 	 2019-04-21 02:28:54,784 R ------> S
DEBUG 	 2019-04-21 02:28:54,785 T ------> U
DEBUG 	 2019-04-21 02:28:54,786 E ------> F
DEBUG 	 2019-04-21 02:28:54,787 u ------> v
DEBUG 	 2019-04-21 02:28:54,788 a ------> b
DEBUG 	 2019-04-21 02:28:54,789 I ------> J
DEBUG 	 2019-04-21 02:28:54,790 B ------> C
DEBUG 	 2019-04-21 02:28:54,791 N ------> O
DEBUG 	 2019-04-21 02:28:54,792 l ------> m
DEBUG 	 2019-04-21 02:28:54,793 f ------> g
DEBUG 	 2019-04-21 02:28:54,794 i ------> j
DEBUG 	 2019-04-21 02:28:54,795 E ------> F
DEBUG 	 2019-04-21 02:28:54,796 P ------> Q
DEBUG 	 2019-04-21 02:28:54,797 r ------> s
DEBUG 	 2019-04-21 02:28:54,798 Z ------> A
DEBUG 	 2019-04-21 02:28:54,799 G ------> H
DEBUG 	 2019-04-21 02:28:54,800 u ------> v
DEBUG 	 2019-04-21 02:28:54,801 v ------> w
DEBUG 	 2019-04-21 02:28:54,802 N ------> O
DEBUG 	 2019-04-21 02:28:54,803 J ------> K
DEBUG 	 2019-04-21 02:28:54,804 O ------> P
DEBUG 	 2019-04-21 02:28:54,805 U ------> V
DEBUG 	 2019-04-21 02:28:54,806 C ------> D
DEBUG 	 2019-04-21 02:28:54,807 m ------> n
DEBUG 	 2019-04-21 02:28:54,808 I ------> J
DEBUG 	 2019-04-21 02:28:54,809 e ------> f
DEBUG 	 2019-04-21 02:28:54,810 e ------> f
DEBUG 	 2019-04-21 02:28:54,811 R ------> S
DEBUG 	 2019-04-21 02:28:54,812 V ------> W
DEBUG 	 2019-04-21 02:28:54,813 w ------> x
DEBUG 	 2019-04-21 02:28:54,814 H ------> I
DEBUG 	 2019-04-21 02:28:54,815 i ------> j
DEBUG 	 2019-04-21 02:28:54,816 E ------> F
DEBUG 	 2019-04-21 02:28:54,817 U ------> V
DEBUG 	 2019-04-21 02:28:54,818 j ------> k
DEBUG 	 2019-04-21 02:28:54,819 S ------> T
DEBUG 	 2019-04-21 02:28:54,820 R ------> S
DEBUG 	 2019-04-21 02:28:54,821 f ------> g
DEBUG 	 2019-04-21 02:28:54,822 b ------> c
