103 ---> 0	 Error rate (%): 10.00
104 ---> 0	 Error rate (%): 10.10
105 ---> 0	 Error rate (%): 10.20
106 ---> 0	 Error rate (%): 10.30
107 ---> 0	 Error rate (%): 10.40
108 ---> 0	 Error rate (%): 10.50
109 ---> 0	 Error rate (%): 10.60
110 ---> 0	 Error rate (%): 10.70
111 ---> 0	 Error rate (%): 10.80
112 ---> 0	 Error rate (%): 10.90
113 ---> 0	 Error rate (%): 11.00
114 ---> 0	 Error rate (%): 11.10
115 ---> 0	 Error rate (%): 11.20
116 ---> 0	 Error rate (%): 11.30
117 ---> 0	 Error rate (%): 11.40
118 ---> 0	 Error rate (%): 11.50
119 ---> 119	 Error rate (%): 11.50
120 ---> 0	 Error rate (%): 11.60
121 ---> 121	 Error rate (%): 11.60
122 ---> 0	 Error rate (%): 11.70
123 ---> 123	 Error rate (%): 11.70
124 ---> 0	 Error rate (%): 11.80
125 ---> 0	 Error rate (%): 11.90
126 ---> 0	 Error rate (%): 12.00
127 ---> 0	 Error rate (%): 12.10
128 ---> 0	 Error rate (%): 12.20
129 ---> 0	 Error rate (%): 12.30
130 ---> 0	 Error rate (%): 12.40
131 ---> 0	 Error rate (%): 12.50
132 ---> 0	 Error rate (%): 12.60
133 ---> 0	 Error rate (%): 12.70
134 ---> 0	 Error rate (%): 12.80
135 ---> 0	 Error rate (%): 12.90
136 ---> 0	 Error rate (%): 13.00
137 ---> 137	 Error rate (%): 13.00
138 ---> 0	 Error rate (%): 13.10
139 ---> 0	 Error rate (%): 13.20
140 ---> 0	 Error rate (%): 13.30
141 ---> 0	 Error rate (%): 13.40
142 ---> 0	 Error rate (%): 13.50
143 ---> 0	 Error rate (%): 13.60
144 ---> 144	 Error rate (%): 13.60
145 ---> 0	 Error rate (%): 13.70
146 ---> 146	 Error rate (%): 13.70
147 ---> 0	 Error rate (%): 13.80
148 ---> 0	 Error rate (%): 13.90
149 ---> 0	 Error rate (%): 14.00
150 ---> 0	 Error rate (%): 14.10
151 ---> 0	 Error rate (%): 14.20
152 ---> 0	 Error rate (%): 14.30
153 ---> 0	 Error rate (%): 14.40
154 ---> 0	 Error rate (%): 14.50
155 ---> 155	 Error rate (%): 14.50
156 ---> 0	 Error rate (%): 14.60
157 ---> 0	 Error rate (%): 14.70
158 ---> 0	 Error rate (%): 14.80
159 ---> 0	 Error rate (%): 14.90
160 ---> 160	 Error rate (%): 14.90
161 ---> 0	 Error rate (%): 15.00
162 ---> 0	 Error rate (%): 15.10
163 ---> 0	 Error rate (%): 15.20
164 ---> 0	 Error rate (%): 15.30
165 ---> 165	 Error rate (%): 15.30
166 ---> 0	 Error rate (%): 15.40
167 ---> 0	 Error rate (%): 15.50
168 ---> 0	 Error rate (%): 15.60
169 ---> 0	 Error rate (%): 15.70
170 ---> 0	 Error rate (%): 15.80
171 ---> 171	 Error rate (%): 15.80
172 ---> 0	 Error rate (%): 15.90
173 ---> 0	 Error rate (%): 16.00
174 ---> 0	 Error rate (%): 16.10
175 ---> 0	 Error rate (%): 16.20
176 ---> 0	 Error rate (%): 16.30
177 ---> 0	 Error rate (%): 16.40
178 ---> 0	 Error rate (%): 16.50
179 ---> 179	 Error rate (%): 16.50
180 ---> 0	 Error rate (%): 16.60
181 ---> 0	 Error rate (%): 16.70
182 ---> 0	 Error rate (%): 16.80
183 ---> 0	 Error rate (%): 16.90
184 ---> 0	 Error rate (%): 17.00
185 ---> 185	 Error rate (%): 17.00
186 ---> 0	 Error rate (%): 17.10
187 ---> 0	 Error rate (%): 17.20
188 ---> 0	 Error rate (%): 17.30
189 ---> 0	 Error rate (%): 17.40
190 ---> 0	 Error rate (%): 17.50
191 ---> 191	 Error rate (%): 17.50
192 ---> 0	 Error rate (%): 17.60
193 ---> 0	 Error rate (%): 17.70
194 ---> 0	 Error rate (%): 17.80
195 ---> 195	 Error rate (%): 17.80
196 ---> 0	 Error rate (%): 17.90
197 ---> 0	 Error rate (%): 18.00
198 ---> 0	 Error rate (%): 18.10
199 ---> 0	 Error rate (%): 18.20
200 ---> 0	 Error rate (%): 18.30
201 ---> 201	 Error rate (%): 18.30
202 ---> 0	 Error rate (%): 18.40
203 ---> 0	 Error rate (%): 18.50
204 ---> 0	 Error rate (%): 18.60
205 ---> 0	 Error rate (%): 18.70
206 ---> 0	 Error rate (%): 18.80
207 ---> 207	 Error rate (%): 18.80
208 ---> 0	 Error rate (%): 18.90
209 ---> 0	 Error rate (%): 19.00
210 ---> 0	 Error rate (%): 19.10
211 ---> 211	 Error rate (%): 19.10
212 ---> 0	 Error rate (%): 19.20
213 ---> 0	 Error rate (%): 19.30
214 ---> 0	 Error rate (%): 19.40
215 ---> 215	 Error rate (%): 19.40
216 ---> 0	 Error rate (%): 19.50
217 ---> 0	 Error rate (%): 19.60
218 ---> 0	 Error rate (%): 19.70
219 ---> 0	 Error rate (%): 19.80
220 ---> 220	 Error rate (%): 19.80
221 ---> 0	 Error rate (%): 19.90
222 ---> 0	 Error rate (%): 20.00
223 ---> 0	 Error rate (%): 20.10
224 ---> 0	 Error rate (%): 20.20
225 ---> 0	 Error rate (%): 20.30
226 ---> 226	 Error rate (%): 20.30
227 ---> 0	 Error rate (%): 20.40
228 ---> 0	 Error rate (%): 20.50
229 ---> 0	 Error rate (%): 20.60
230 ---> 0	 Error rate (%): 20.70
231 ---> 0	 Error rate (%): 20.80
232 ---> 0	 Error rate (%): 20.90
233 ---> 0	 Error rate (%): 21.00
234 ---> 0	 Error rate (%): 21.10
235 ---> 0	 Error rate (%): 21.20
236 ---> 0	 Error rate (%): 21.30
237 ---> 0	 Error rate (%): 21.40
238 ---> 0	 Error rate (%): 21.50
239 ---> 239	 Error rate (%): 21.50
240 ---> 0	 Error rate (%): 21.60
241 ---> 0	 Error rate (%): 21.70
242 ---> 0	 Error rate (%): 21.80
243 ---> 0	 Error rate (%): 21.90
244 ---> 0	 Error rate (%): 22.00
245 ---> 245	 Error rate (%): 22.00
246 ---> 0	 Error rate (%): 22.10
247 ---> 0	 Error rate (%): 22.20
248 ---> 0	 Error rate (%): 22.30
249 ---> 0	 Error rate (%): 22.40
250 ---> 0	 Error rate (%): 22.50
251 ---> 0	 Error rate (%): 22.60
252 ---> 0	 Error rate (%): 22.70
253 ---> 0	 Error rate (%): 22.80
254 ---> 0	 Error rate (%): 22.90
255 ---> 0	 Error rate (%): 23.00
256 ---> 0	 Error rate (%): 23.10
257 ---> 0	 Error rate (%): 23.20
258 ---> 0	 Error rate (%): 23.30
259 ---> 0	 Error rate (%): 23.40
260 ---> 0	 Error rate (%): 23.50
261 ---> 0	 Error rate (%): 23.60
262 ---> 0	 Error rate (%): 23.70
263 ---> 0	 Error rate (%): 23.80
264 ---> 0	 Error rate (%): 23.90
265 ---> 0	 Error rate (%): 24.00
266 ---> 0	 Error rate (%): 24.10
267 ---> 0	 Error rate (%): 24.20
268 ---> 0	 Error rate (%): 24.30
269 ---> 0	 Error rate (%): 24.40
270 ---> 0	 Error rate (%): 24.50
271 ---> 0	 Error rate (%): 24.60
272 ---> 0	 Error rate (%): 24.70
273 ---> 0	 Error rate (%): 24.80
274 ---> 0	 Error rate (%): 24.90
275 ---> 0	 Error rate (%): 25.00
276 ---> 0	 Error rate (%): 25.10
277 ---> 0	 Error rate (%): 25.20
278 ---> 0	 Error rate (%): 25.30
279 ---> 0	 Error rate (%): 25.40
280 ---> 280	 Error rate (%): 25.40
281 ---> 0	 Error rate (%): 25.50
282 ---> 0	 Error rate (%): 25.60
283 ---> 0	 Error rate (%): 25.70
284 ---> 0	 Error rate (%): 25.80
285 ---> 0	 Error rate (%): 25.90
286 ---> 0	 Error rate (%): 26.00
287 ---> 0	 Error rate (%): 26.10
288 ---> 0	 Error rate (%): 26.20
289 ---> 0	 Error rate (%): 26.30
290 ---> 0	 Error rate (%): 26.40
291 ---> 0	 Error rate (%): 26.50
292 ---> 0	 Error rate (%): 26.60
293 ---> 293	 Error rate (%): 26.60
294 ---> 0	 Error rate (%): 26.70
295 ---> 0	 Error rate (%): 26.80
296 ---> 0	 Error rate (%): 26.90
297 ---> 0	 Error rate (%): 27.00
298 ---> 0	 Error rate (%): 27.10
299 ---> 0	 Error rate (%): 27.20
300 ---> 0	 Error rate (%): 27.30
301 ---> 0	 Error rate (%): 27.40
302 ---> 0	 Error rate (%): 27.50
303 ---> 0	 Error rate (%): 27.60
304 ---> 0	 Error rate (%): 27.70
305 ---> 0	 Error rate (%): 27.80
306 ---> 0	 Error rate (%): 27.90
307 ---> 307	 Error rate (%): 27.90
308 ---> 0	 Error rate (%): 28.00
309 ---> 0	 Error rate (%): 28.10
310 ---> 0	 Error rate (%): 28.20
311 ---> 0	 Error rate (%): 28.30
312 ---> 0	 Error rate (%): 28.40
313 ---> 0	 Error rate (%): 28.50
314 ---> 0	 Error rate (%): 28.60
315 ---> 0	 Error rate (%): 28.70
316 ---> 0	 Error rate (%): 28.80
317 ---> 0	 Error rate (%): 28.90
318 ---> 0	 Error rate (%): 29.00
319 ---> 0	 Error rate (%): 29.10
320 ---> 0	 Error rate (%): 29.20
321 ---> 0	 Error rate (%): 29.30
322 ---> 0	 Error rate (%): 29.40
323 ---> 0	 Error rate (%): 29.50
324 ---> 0	 Error rate (%): 29.60
325 ---> 0	 Error rate (%): 29.70
326 ---> 0	 Error rate (%): 29.80
327 ---> 327	 Error rate (%): 29.80
328 ---> 0	 Error rate (%): 29.90
